student_name,student_marks,student_grades,hours_study
Alice,40,D,3.3333333333333335
Brian,41,D+,3.25
Cynthia,42,C,3.1666666666666665
David,43,C,3.0833333333333335
Evelyn,44,C+,3.0
Frank,45,C+,2.9166666666666665
Grace,46,B,2.8333333333333335
Henry,47,B,2.75
Irene,48,B+,2.6666666666666665
James,49,B+,2.5833333333333335
Kevin,50,A-,2.5
Linda,51,A-,2.4166666666666665
Michael,52,A,2.3333333333333335
Nancy,53,A,2.25
Oliver,54,A,2.1666666666666665
Patricia,55,B+,2.0833333333333335
Quincy,56,B,2.0
Rachel,57,B,1.9166666666666667
Samuel,58,C+,1.8333333333333333
Teresa,59,C+,1.75
Umar,60,C,1.6666666666666667
Victoria,61,C,1.5833333333333333
William,62,D+,1.5
Xavier,63,D+,1.4166666666666667
Yvonne,64,D,1.3333333333333333
Zachary,65,D,1.25
Amina,66,A,1.1666666666666667
Ben,67,A,1.0833333333333333
Carol,68,A-,1.0
Dennis,69,A-,0.9166666666666666
Esther,70,B+,0.8333333333333334
Felix,71,B+,0.75
Gloria,72,B,0.6666666666666666
Hassan,73,B,0.5833333333333334
Ivy,74,C+,0.5
John,75,C+,0.4166666666666667
Karen,76,C,0.3333333333333333
Leo,77,C,0.25
Mary,78,D+,0.16666666666666666
Noah,79,D+,0.08333333333333333
